group,capability,backend_present,frontend_present,docs_present,status,color,implementation_strength,penalty,net_score,route_hits,model_hits,service_hits,frontend_hits,doc_hits,suspicious_hits
AI,AI chat,False,False,False,Mock / simulation / non-functional,red,0,0,0,[],[],[],[],[],[]
Billing,Billing and plans,False,False,False,Mock / simulation / non-functional,red,0,0,0,[],[],[],[],[],[]
CRM,CRM accounts contacts opportunities quotes,False,False,False,Mock / simulation / non-functional,red,0,0,0,[],[],[],[],[],[]
Core,Auth bootstrap and login,False,True,True,Referenced only,gray,11,0,11,[],[],[],"['app/layout.tsx :: auth', 'app/login/page.tsx :: login', 'app/admin/page.tsx :: login', 'app/customer/page.tsx :: login']","['app/login/page.tsx :: login', 'app/admin/page.tsx :: login', 'app/customer/page.tsx :: login']",[]
Core,Tenant lifecycle,True,False,True,Partial / backend-led,yellow,8,0,8,[],[],"['scripts/auto_patch_multitenant.py :: tenant', 'scripts/unified_multitenant_fleet_engine_repair.py :: tenant']",[],"['scripts/auto_patch_multitenant.py :: tenant', 'scripts/unified_multitenant_fleet_engine_repair.py :: tenant']",[]
Domains,Custom domains,False,False,False,Mock / simulation / non-functional,red,0,0,0,[],[],[],[],[],[]
Fleetbase Engine,Fleetbase operational engine usage,True,True,True,Functional software,green,17,2,15,['app/track/page.tsx :: tracking'],"['scripts/unified_multitenant_fleet_engine_repair.py :: fleetbase', 'scripts/validate_fleetbase_integration.py :: fleetbase', 'scripts/patch_test_fleetbase_refs.py :: fleetbase', 'scripts/auto_patch_fleetbase.py :: fleetbase']",[],['app/track/page.tsx :: tracking'],"['scripts/unified_multitenant_fleet_engine_repair.py :: fleetbase', 'scripts/validate_fleetbase_integration.py :: fleetbase', 'scripts/patch_test_fleetbase_refs.py :: fleetbase', 'scripts/auto_patch_fleetbase.py :: fleetbase']",['scripts/validate_fleetbase_integration.py :: mock:\\bhardcoded\\b']
Fleetbase Runtime,Fleetbase runtime orchestration,False,False,False,Mock / simulation / non-functional,red,0,0,0,[],[],[],[],[],[]
Support,Public support intake,False,True,False,Mock / simulation / non-functional,red,4,0,4,[],[],[],"['app/support/page.tsx :: support', 'app/support/ticket/[token]/page.tsx :: support']",[],[]
